epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,278.691,1.54762,3.99415,1.47028,0.00245,0.65979,0.0739,0.03974,1.27574,3.94161,1.29437,0.00195455,0.000651515,0.00195455,0.000651515,0.00195455,0.000651515,0.00195455,0.000651515
2,509.035,1.31865,3.36263,1.19471,0.38973,0.31959,0.2962,0.18274,1.23216,3.43305,1.16044,0.0039154,0.00130513,0.0039154,0.00130513,0.0039154,0.00130513,0.0039154,0.00130513
3,750.357,1.34996,2.42989,1.20256,0.75578,0.64948,0.75818,0.43236,1.40233,2.33182,1.22251,0.00583665,0.00194555,0.00583665,0.00194555,0.00583665,0.00194555,0.00583665,0.00194555
4,979.02,1.32461,2.05472,1.10725,0.83931,0.7539,0.82809,0.47226,1.40968,2.17655,1.15003,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,1235.24,1.31685,1.8731,1.11549,0.85062,0.7045,0.83235,0.43943,1.49009,2.04179,1.16249,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,1504.37,1.31653,1.68185,1.08977,0.85078,0.83505,0.89485,0.50296,1.39238,1.83233,1.12832,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,1710.52,1.32565,1.60735,1.09491,0.80916,0.82474,0.85913,0.46118,1.45462,1.89024,1.16598,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,1913.92,1.32198,1.51096,1.10002,0.82748,0.83505,0.86872,0.45644,1.43511,1.7785,1.16336,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,2129.16,1.26648,1.43894,1.0747,0.92246,0.79381,0.87886,0.48898,1.41221,1.67158,1.14686,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,2343.32,1.28487,1.37428,1.06582,0.91377,0.78351,0.8705,0.48287,1.39934,1.65201,1.16957,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,2557.44,1.29955,1.35459,1.08549,0.89235,0.76289,0.87301,0.48858,1.43286,1.59382,1.19768,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,2865.09,1.26912,1.24895,1.09476,0.91972,0.79381,0.88598,0.49764,1.43999,1.56882,1.19179,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,3079.48,1.21495,1.1845,1.04717,0.88563,0.80412,0.89591,0.50515,1.42009,1.45997,1.17462,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,3342.35,1.23474,1.2002,1.06806,0.9489,0.84536,0.92213,0.50422,1.4459,1.41563,1.18782,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
